,2019,2020,2021,2022,2023,2024,2025
RTGZ,6.848015873015873,5.719987125844867,,,,,
KOGK,8.589285714285714,5.822992125984252,50.26821862348178,,,,
PRMB,6.195238095238095,5.906456692913386,2.635270541082164,,,,
ALNU,11.370238095238095,8.102623906705539,,,,,
URKZ,9.267460317460317,9.025196850393701,200.0592188156237,,,,
KRKN,8.183333333333334,10.133858267716535,5.686033519553073,,,,
CHKZ,27.84325396825397,24.058267716535433,19.41318907779495,3.9663677130044843,,,
MGTS,39.24722222222222,26.69228346456693,118.43147861926842,47.96079734219269,37.07142857142857,,
TRCN,38.448412698412696,27.572280178837556,,,,,
OMZZP,38.823015873015876,31.628976377952757,33.59479649665121,12.043034281546317,,,
DZRDP,34.34563492063492,32.00188976377953,124.79289026275116,47.595911265767725,,,
RKKE,22.952380952380953,33.28503937007874,284.1218444100979,141.80166112956812,38.88777339548225,,
MGNZ,17.034920634920635,38.72503937007874,31.06896551724138,,,,
NNSB,33.12777777777778,40.55905511811024,51.370942812982996,26.128205128205128,,,
DZRD,28.826190476190476,49.97889763779528,54.21200412158681,22.773139745916517,,,
UNKL,92.20714285714286,52.449133858267714,235.0149407521896,121.20265780730897,34.93144848954299,,
UCSS,74.08690476190476,54.135748031496064,114.32065217391305,,,,
ZILL,82.02222222222223,63.79905511811024,148.44281298299845,90.73787375415283,46.141723356009074,,
AVAN,97.45595238095238,70.50582677165355,919.8678516228748,627.9558139534884,180.70729366602689,,
KRKNP,34.570238095238096,79.39338582677165,134.9216898505925,133.6049833887043,25.65984251968504,7.880952380952381,
VSMO,39.631349206349206,98.17448818897638,78.7359608449253,238.75813953488372,162.64068241469818,120.06593014967926,
IGSTP,116.58055555555555,107.6251968503937,100.7091705306543,20.51827242524917,11.179245283018869,,
CHMK,43.8515873015873,119.98204724409449,299.1483771251932,195.9156146179402,39.28762755102041,,
TNSE,60.87460317460317,131.24503937007873,152.82277176713035,31.119592875318066,,,
NNSBP,93.38095238095238,146.81417322834645,121.70376094796497,34.675399361022365,,,
HALS,101.63650793650794,150.03198781416603,,,,,
IGST,81.62738095238095,153.176062992126,114.42941782586296,21.508970099667774,13.218867924528302,,
LNZL,59.419444444444444,199.85133858267716,429.47063369397216,215.96079734219268,135.8010498687664,28.434190620272314,
KMEZ,179.21507936507936,200.44188976377953,276.87892838742914,121.1202657807309,67.71676300578035,,
VJGZ,129.59404761904761,219.38204724409448,112.77408552292633,66.69269102990033,71.2746913580247,,
MGTSP,166.78412698412697,255.89826771653543,2174.7545079855745,3201.9870431893687,689.18687664042,225.88900634249472,
TRNFP,157.47261904761905,256.53543307086613,134.65868109222052,95.45016611295681,5540.679790026246,81020.39572471325,46325.44664031621
UKUZ,47.634126984126986,262.0337007874016,188.88768675940236,37.78429282160626,,,
GAZA,204.36111111111111,293.6157480314961,909.0005151983513,257.5130574527923,,,
GEMA,461.8384920634921,314.41259842519685,249.81530139103555,7786.995348837209,772.0710735586481,,
BRZL,166.88888888888889,330.1108661417323,254.60278207109738,632.2644518272425,187.5066055540577,,
VZRZP,381.0515873015873,368.2020997375328,,,,,
MFGS,246.78174603174602,456.3433070866142,383.70066975785676,331.41843971631204,,,
ELTZ,798.5011904761905,472.66267716535435,1734.5427614631633,2554.090243902439,,,
YRSB,316.484126984127,496.33385826771655,153.92788815305371,,,,
KGKCP,959.4722222222222,515.8456692913386,3866.5790829469347,1048.2222222222222,,,
KUBE,940.4920634920635,538.2488188976378,5064.657393096342,1314.0289126335638,,,
VJGZP,436.60714285714283,593.628346456693,274.16409067490986,74.1,69.13240418118467,,
ROSB,542.1904761904761,635.6976377952756,25978.92065945389,13519.837320574163,,,
KROT,222.07539682539684,668.8661417322835,5003.851107676455,1720.7242524916944,227.60432432432432,,
LNZLP,54.48095238095238,690.7461417322835,3385.6362699639362,1415.070099667774,625.8671916010499,246.4856815578465,
NAUK,618.1031746031746,764.4755905511811,1594.6831530139104,745.0265780730897,475.26730190571715,,
GCHE,219.04960317460316,826.9757480314961,827.6609994848017,1891.2906976744187,422.56535433070866,171.5630447414294,
NFAZ,782.2142857142857,860.1133858267716,2015.4533745492015,955.2990033222592,519.9051094890511,,
KBSB,320.12698412698415,862.2708661417323,886.6048428645029,222.52691218130312,,,
KBTK,3568.2658730158732,865.8655332302936,,,,,
PMSB,611.4087301587301,871.807874015748,5467.527047913447,15425.724252491695,2216.9212598425197,2885.123287671233,
MFGSP,307.4087301587302,920.5291338582678,485.99175682637815,231.7989417989418,,,
